"ID","WH","Location","Description","Entry_By","Entry_On","ZONE","LOCLEVEL","STLOCATION","SLOC","LOCATIONTYPE","ZONEBARCODE","AISLES","CUSTID","PRIORITYLOCATION","LOCATIONSTATUS","CCSTATUS","AISLESBARCODE","LOCATIONBARCODE"
130,MAA,F104,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,C10000000000000000000002
131,MAA,F105,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,C10000000000000000000003
132,MAA,F106,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,C10000000000000000000004
133,MAA,F107,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,C10000000000000000000005
134,MAA,F108,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,C10000000000000000000006
135,MAA,F109,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,C10000000000000000000007
136,MAA,F110,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,C10000000000000000000008
137,MAA,F111,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,C10000000000000000000009
138,MAA,F112,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,C10000000000000000000010
139,MAA,F113,OK Stock Location,Rajini Nagaiah,2020-05-02,B01000000000000000000002,,,,,B01000000000000000000002,R2-R3,HLL01,,,,A1000000000000000000001,C10000000000000000000011
